
#### 노템(장비0·슬롯0) (챕터 5) — 1200판 · 클리어율 9.17% · 한 판 평균 획득 5.98장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
| 처치 시 도끼 `p_killAxeR` | 희귀 | 10.3% | 8.9% |
| 회피 시 회복 `p_evadeHeal` | 일반 | 10.2% | 12.3% |
| 거인의 힘 `p_giant` | 전설 | 10.1% | 36.4% |
| 처치 시 화살 `p_killArrowR` | 희귀 | 10.1% | 13.2% |
| 회피 시 창 `p_spearEvL` | 전설 | 10.0% | 6.7% |
| 처치 시 창 `p_killSpearL` | 전설 | 9.9% | 20.2% |
| 처치 시 번개 `p_killBoltR` | 희귀 | 9.8% | 11.9% |
| 오버킬 회복 `p_overkill` | 전설 | 9.8% | 10.3% |
| 귀족의 눈 `p_nobleEye` | 전설 | 9.8% | 14.5% |
| 창의 화신 `p_spearAvatar` | 전설 | 9.7% | 11.2% |
| 처치 시 화살 `p_killArrowL` | 전설 | 9.7% | 7.8% |
| 수리 증폭 `p_repairUp` | 희귀 | 9.5% | 12.3% |
| 처치 시 도끼 `p_killAxeL` | 전설 | 9.5% | 16.7% |
| 처치 시 창 `p_killSpearR` | 희귀 | 9.4% | 15.0% |
| 처치 시 번개 `p_killBoltL` | 전설 | 9.3% | 9.9% |
| 치명타 피해 증가 II `p_critFR` | 희귀 | 9.2% | 11.8% |
| 회복 증폭 `p_healUp` | 희귀 | 9.2% | 6.4% |
| 회피 시 화살 `p_arrowEv` | 일반 | 9.2% | 4.5% |
| 2타 화살 III `p_nArrowL` | 전설 | 9.1% | 14.7% |
| 3타 번개 II `p_nBoltR` | 희귀 | 9.0% | 16.7% |
| 3타 번개 III `p_nBoltL` | 전설 | 8.9% | 20.6% |
| 처치 시 수리 `p_killRepair` | 희귀 | 8.9% | 35.5% |
| 광전사 `p_berserk` | 전설 | 8.8% | 70.5% |
| 관통 베기 III `p_cleaveL` | 전설 | 8.8% | 6.7% |
| 3타 창 `p_nSpearL` | 전설 | 8.7% | 26.0% |
| 회복 시 수리 `p_healRepair` | 희귀 | 8.7% | 5.8% |
| 회피율 증가 `p_evade` | 일반 | 8.5% | 7.8% |
| 치명 시 창 `p_critSpearL` | 전설 | 8.5% | 10.8% |
| 치명타 확률 증가 II `p_critRR` | 희귀 | 8.4% | 9.9% |
| 피격 시 도끼 III `p_axeHitL` | 전설 | 8.3% | 12.0% |
| 3타 도끼 III `p_nAxeL` | 전설 | 8.3% | 14.0% |
| 치명타 시 스턴 II `p_stunCritR` | 희귀 | 8.3% | 7.1% |
| 회피 시 화살 III `p_arrowEvL` | 전설 | 8.3% | 10.1% |
| 실드 방벽 `p_shWallL` | 전설 | 8.2% | 24.5% |
| 2타 화살 II `p_nArrowR` | 희귀 | 8.2% | 9.2% |
| 치명타 시 스턴 III `p_stunCritL` | 전설 | 8.1% | 7.2% |
| 치명타 확률 증가 `p_critR` | 일반 | 8.1% | 6.2% |
| 치명 시 번개 `p_critBoltL` | 전설 | 8.0% | 5.2% |
| 회피 시 즉사 II `p_execEvR` | 희귀 | 8.0% | 4.2% |
| 회피율 증가 II `p_evadeR` | 희귀 | 8.0% | 16.7% |
| 공격력 증가 `p_atk` | 일반 | 8.0% | 9.4% |
| 피격 시 창 `p_spearHitL` | 전설 | 7.8% | 14.9% |
| 반격률 증가 `p_counter` | 일반 | 7.8% | 11.8% |
| 실드 반사 `p_shRefL` | 전설 | 7.7% | 7.6% |
| 반격률 증가 II `p_counterR` | 희귀 | 7.5% | 12.2% |
| 반격 치명 II `p_ctCritR` | 희귀 | 7.5% | 8.9% |
| 피격 시 도끼 `p_axeHit` | 일반 | 7.5% | 14.4% |
| 3타 도끼 II `p_nAxeR` | 희귀 | 7.4% | 11.2% |
| 버서커 `p_berserkStk` | 희귀 | 7.4% | 14.6% |
| 공격력 증가 II `p_atkR` | 희귀 | 7.2% | 12.8% |
| 치명타 피해 증가 `p_critF` | 일반 | 7.2% | 10.5% |
| 회피 시 즉사 III `p_execEvL` | 전설 | 7.1% | 5.9% |
| 피격 시 방어막 III `p_wardHitL` | 전설 | 7.0% | 16.7% |
| 처치 시 대시 `p_killDash` | 희귀 | 7.0% | 13.1% |
| 반격 시 창 `p_spearCt` | 일반 | 6.9% | 6.0% |
| 관통 베기 II `p_cleaveR` | 희귀 | 6.8% | 16.0% |
| 처치 시 창 `p_killSpearN` | 일반 | 6.7% | 16.3% |
| 방어력 증가 `p_def` | 일반 | 6.6% | 6.3% |
| 피격 시 도끼 II `p_axeHitR` | 희귀 | 6.6% | 12.7% |
| 방어력 증가 III `p_defL` | 전설 | 6.6% | 6.3% |
| 회피 시 화살 II `p_arrowEvR` | 희귀 | 6.4% | 5.2% |
| 회피 시 수리 II `p_evRepairL` | 전설 | 6.3% | 6.6% |
| 회피 시 수리 `p_evRepairR` | 희귀 | 6.3% | 10.5% |
| 피격 시 방어막 II `p_wardHitR` | 희귀 | 6.3% | 10.5% |
| 반격 강화 II `p_ctDmgR` | 희귀 | 6.2% | 6.8% |
| 처치 시 번개 `p_killBoltN` | 일반 | 5.9% | 9.9% |
| 회피 시 회복 II `p_evHealR` | 희귀 | 5.8% | 14.3% |
| 처치 시 화살 `p_killArrowN` | 일반 | 5.3% | 4.8% |
| 치명 시 창 `p_critSpearR` | 희귀 | 5.0% | 13.3% |
| 가시갑옷 `p_thornsN` | 일반 | 4.8% | 12.1% |
| 처치 시 회피 버프 `p_killEvBuff` | 일반 | 4.7% | 8.9% |
| 방어력 증가 II `p_defR` | 희귀 | 4.6% | 7.3% |
| 처치 시 도끼 `p_killAxeN` | 일반 | 4.3% | 7.7% |
| 수집가·공격 `p_collAtk` | 일반 | 4.1% | 14.3% |
| 처치 시 공격력 스택 `p_killAtkStk` | 일반 | 3.3% | 7.7% |
| 수집가·치명 `p_collCrit` | 일반 | 2.9% | 8.6% |
| 공격 시 공속 버프 `p_aspdAtk` | 일반 | 2.3% | 18.5% |
| 수집가·체력 `p_collHp` | 일반 | 2.2% | 3.8% |
| 처치 시 회피 스택 `p_killEvStk` | 일반 | 2.1% | 16.0% |
| 치명 스택 `p_critStack` | 일반 | 1.8% | 13.6% |
| 회피 시 즉사 `p_execEvN` | 일반 | 1.7% | 30.0% |
| 처치 시 회복 `p_killHealN` | 일반 | 1.5% | 5.6% |
| 치명타 시 스턴 `p_stunCritN` | 일반 | 1.3% | 13.3% |
| 3타 번개 `p_nBoltN` | 일반 | 0.9% | 36.4% |
| 3타 도끼 `p_nAxeN` | 일반 | 0.8% | 11.1% |
| 회피 시 스턴 `p_evadeStun` | 일반 | 0.7% | 37.5% |
| 2타 화살 `p_nArrowN` | 일반 | 0.5% | 0.0% |
| 반격 강화 `p_ctDmgN` | 일반 | 0.4% | 0.0% |
| 5타 회복 `p_nHealN` | 일반 | 0.4% | 0.0% |
| 관통 베기 `p_cleaveN` | 일반 | 0.3% | 0.0% |
| 처치 시 확정 치명 `p_killSureCrit` | 일반 | 0.2% | 0.0% |
| 반격 치명 `p_ctCritN` | 일반 | 0.2% | 0.0% |
| 피해 무시 `p_ignoreN` | 일반 | 0.1% | 100.0% |

#### 희귀 풀셋·슬롯5 (챕터 28) — 1200판 · 클리어율 14.25% · 한 판 평균 획득 6.81장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
|---|---|---|---|
| 회복 증폭 `p_healUp` | 희귀 | 13.2% | 8.9% |
| 처치 시 창 `p_killSpearL` | 전설 | 12.8% | 22.9% |
| 처치 시 도끼 `p_killAxeL` | 전설 | 12.3% | 10.9% |
| 처치 시 번개 `p_killBoltL` | 전설 | 11.3% | 23.5% |
| 가시갑옷 `p_thornsL` | 전설 | 11.2% | 28.4% |
| 오버킬 회복 `p_overkill` | 전설 | 11.2% | 29.9% |
| 회피 시 회복 `p_evadeHeal` | 일반 | 11.2% | 13.4% |
| 거인의 힘 `p_giant` | 전설 | 10.8% | 41.9% |
| 치명 시 창 `p_critSpearL` | 전설 | 10.7% | 13.3% |
| 귀족의 눈 `p_nobleEye` | 전설 | 10.7% | 15.6% |
| 풀피 적 강타 `p_fullHp` | 희귀 | 10.5% | 12.7% |
| 창의 화신 `p_spearAvatar` | 전설 | 10.5% | 15.9% |
| 회피 시 즉사 III `p_execEvL` | 전설 | 10.5% | 17.5% |
| 수리 증폭 `p_repairUp` | 희귀 | 10.4% | 14.4% |
| 처치 시 창 `p_killSpearR` | 희귀 | 10.3% | 12.1% |
| 가시갑옷 `p_thornsR` | 희귀 | 10.3% | 14.6% |
| 회피 시 화살 `p_arrowEv` | 일반 | 10.3% | 9.8% |
| 공격력 증가 `p_atk` | 일반 | 10.3% | 17.9% |
| 2타 화살 III `p_nArrowL` | 전설 | 10.2% | 32.8% |
| 관통 베기 III `p_cleaveL` | 전설 | 10.1% | 16.5% |
| 회피 시 화살 III `p_arrowEvL` | 전설 | 9.9% | 12.6% |
| 회피 시 즉사 II `p_execEvR` | 희귀 | 9.9% | 10.9% |
| 치명타 시 스턴 III `p_stunCritL` | 전설 | 9.8% | 17.8% |
| 처치 시 도끼 `p_killAxeR` | 희귀 | 9.8% | 12.0% |
| 광전사 `p_berserk` | 전설 | 9.7% | 59.5% |
| 처치 시 화살 `p_killArrowL` | 전설 | 9.6% | 20.0% |
| 회피율 증가 `p_evade` | 일반 | 9.5% | 16.7% |
| 피격 시 도끼 III `p_axeHitL` | 전설 | 9.5% | 17.5% |
| 회복 시 수리 `p_healRepair` | 희귀 | 9.5% | 11.4% |
| 3타 도끼 III `p_nAxeL` | 전설 | 9.4% | 16.8% |
| 2타 화살 II `p_nArrowR` | 희귀 | 9.4% | 12.4% |
| 처치 시 번개 `p_killBoltR` | 희귀 | 9.3% | 23.2% |
| 처치 시 화살 `p_killArrowR` | 희귀 | 9.3% | 16.1% |
| 치명타 피해 증가 II `p_critFR` | 희귀 | 9.3% | 9.0% |
| 3타 창 `p_nSpearL` | 전설 | 9.2% | 25.5% |
| 치명타 확률 증가 II `p_critRR` | 희귀 | 9.1% | 21.1% |
| 실드 반사 `p_shRefL` | 전설 | 8.9% | 13.1% |
| 버서커 `p_berserkStk` | 희귀 | 8.6% | 21.4% |
| 처치 시 수리 `p_killRepair` | 희귀 | 8.6% | 45.6% |
| 3타 번개 III `p_nBoltL` | 전설 | 8.5% | 23.5% |
| 회피 시 창 `p_spearEvL` | 전설 | 8.4% | 9.9% |
| 치명 시 번개 `p_critBoltL` | 전설 | 8.3% | 11.0% |
| 3타 번개 II `p_nBoltR` | 희귀 | 8.3% | 22.0% |
| 회피 시 회복 II `p_evHealR` | 희귀 | 8.3% | 9.0% |
| 회피 시 수리 II `p_evRepairL` | 전설 | 8.3% | 21.2% |
| 피격 시 도끼 `p_axeHit` | 일반 | 8.1% | 11.3% |
| 피격 시 창 `p_spearHitL` | 전설 | 7.9% | 16.8% |
| 공격력 증가 II `p_atkR` | 희귀 | 7.9% | 21.1% |
| 실드 방벽 `p_shWallL` | 전설 | 7.8% | 30.9% |
| 치명타 시 스턴 II `p_stunCritR` | 희귀 | 7.8% | 11.7% |
| 방어력 증가 III `p_defL` | 전설 | 7.6% | 9.9% |
| 반격률 증가 II `p_counterR` | 희귀 | 7.4% | 6.7% |
| 치명타 확률 증가 `p_critR` | 일반 | 7.4% | 10.1% |
| 치명타 피해 증가 `p_critF` | 일반 | 7.4% | 13.5% |
| 처치 시 대시 `p_killDash` | 희귀 | 7.4% | 19.1% |
| 회피율 증가 II `p_evadeR` | 희귀 | 7.3% | 17.0% |
| 피격 시 방어막 III `p_wardHitL` | 전설 | 7.2% | 20.7% |
| 반격률 증가 `p_counter` | 일반 | 7.2% | 8.0% |
| 3타 도끼 II `p_nAxeR` | 희귀 | 6.9% | 15.7% |
| 처치 시 화살 `p_killArrowN` | 일반 | 6.8% | 6.1% |
| 관통 베기 II `p_cleaveR` | 희귀 | 6.8% | 9.8% |
| 피격 시 도끼 II `p_axeHitR` | 희귀 | 6.8% | 11.0% |
| 반격 치명 II `p_ctCritR` | 희귀 | 6.6% | 5.1% |
| 피격 시 방어막 II `p_wardHitR` | 희귀 | 6.5% | 15.4% |
| 회피 시 수리 `p_evRepairR` | 희귀 | 6.4% | 6.5% |
| 반격 시 창 `p_spearCt` | 일반 | 6.4% | 9.1% |
| 방어력 증가 `p_def` | 일반 | 6.3% | 6.6% |
| 반격 강화 II `p_ctDmgR` | 희귀 | 6.3% | 6.7% |
| 회피 시 화살 II `p_arrowEvR` | 희귀 | 6.2% | 10.8% |
| 방어력 증가 II `p_defR` | 희귀 | 5.6% | 7.5% |
| 처치 시 도끼 `p_killAxeN` | 일반 | 5.5% | 12.1% |
| 처치 시 번개 `p_killBoltN` | 일반 | 5.3% | 12.5% |
| 처치 시 회피 버프 `p_killEvBuff` | 일반 | 4.8% | 6.9% |
| 처치 시 창 `p_killSpearN` | 일반 | 4.6% | 18.2% |
| 치명 시 창 `p_critSpearR` | 희귀 | 4.5% | 11.1% |
| 가시갑옷 `p_thornsN` | 일반 | 4.4% | 15.1% |
| 수집가·공격 `p_collAtk` | 일반 | 4.3% | 11.5% |
| 처치 시 공격력 스택 `p_killAtkStk` | 일반 | 3.7% | 6.8% |
| 수집가·치명 `p_collCrit` | 일반 | 2.8% | 23.5% |
| 처치 시 회피 스택 `p_killEvStk` | 일반 | 2.4% | 10.3% |
| 공격 시 공속 버프 `p_aspdAtk` | 일반 | 2.3% | 14.3% |
| 치명 스택 `p_critStack` | 일반 | 2.3% | 3.6% |
| 수집가·체력 `p_collHp` | 일반 | 2.0% | 16.7% |
| 처치 시 회복 `p_killHealN` | 일반 | 1.8% | 9.1% |
| 5타 회복 `p_nHealN` | 일반 | 1.3% | 18.8% |
| 치명타 시 스턴 `p_stunCritN` | 일반 | 1.2% | 7.1% |
| 회피 시 즉사 `p_execEvN` | 일반 | 1.1% | 0.0% |
| 2타 화살 `p_nArrowN` | 일반 | 1.1% | 15.4% |
| 3타 도끼 `p_nAxeN` | 일반 | 1.0% | 16.7% |
| 3타 번개 `p_nBoltN` | 일반 | 0.8% | 33.3% |
| 회피 시 스턴 `p_evadeStun` | 일반 | 0.4% | 20.0% |
| 반격 치명 `p_ctCritN` | 일반 | 0.2% | 50.0% |
| 반격 강화 `p_ctDmgN` | 일반 | 0.1% | 100.0% |
| 처치 시 확정 치명 `p_killSureCrit` | 일반 | 0.1% | 100.0% |

#### 영웅 풀셋·슬롯10 (챕터 40) — 1200판 · 클리어율 21.08% · 한 판 평균 획득 8.14장
| 특전 | 등급 | 픽률(판 대비) | 그 특전을 뽑은 판의 클리어율 |
|---|---|---|---|
| 3타 도끼 III `p_nAxeL` | 전설 | 14.4% | 22.5% |
| 풀피 적 강타 `p_fullHp` | 희귀 | 14.2% | 27.6% |
| 회피 시 회복 `p_evadeHeal` | 일반 | 14.0% | 12.5% |
| 처치 시 창 `p_killSpearR` | 희귀 | 13.8% | 26.7% |
| 가시갑옷 `p_thornsL` | 전설 | 13.7% | 25.6% |
| 창의 화신 `p_spearAvatar` | 전설 | 13.6% | 25.2% |
| 처치 시 창 `p_killSpearL` | 전설 | 13.5% | 27.2% |
| 처치 시 번개 `p_killBoltL` | 전설 | 13.5% | 32.1% |
| 2타 화살 III `p_nArrowL` | 전설 | 13.3% | 32.7% |
| 귀족의 눈 `p_nobleEye` | 전설 | 13.2% | 23.4% |
| 거인의 힘 `p_giant` | 전설 | 13.2% | 51.9% |
| 처치 시 화살 `p_killArrowL` | 전설 | 13.1% | 23.6% |
| 치명타 시 스턴 III `p_stunCritL` | 전설 | 13.0% | 21.2% |
| 처치 시 도끼 `p_killAxeL` | 전설 | 12.8% | 21.4% |
| 오버킬 회복 `p_overkill` | 전설 | 12.8% | 30.1% |
| 회피 시 즉사 III `p_execEvL` | 전설 | 12.7% | 23.7% |
| 수리 증폭 `p_repairUp` | 희귀 | 12.6% | 25.8% |
| 치명타 피해 증가 II `p_critFR` | 희귀 | 12.5% | 22.7% |
| 광전사 `p_berserk` | 전설 | 12.4% | 67.8% |
| 처치 시 수리 `p_killRepair` | 희귀 | 12.4% | 57.0% |
| 회복 시 수리 `p_healRepair` | 희귀 | 12.2% | 13.0% |
| 3타 번개 III `p_nBoltL` | 전설 | 11.9% | 28.0% |
| 처치 시 화살 `p_killArrowR` | 희귀 | 11.8% | 19.0% |
| 회복 증폭 `p_healUp` | 희귀 | 11.8% | 14.9% |
| 회피율 증가 `p_evade` | 일반 | 11.5% | 18.8% |
| 회피 시 화살 III `p_arrowEvL` | 전설 | 11.5% | 17.4% |
| 처치 시 번개 `p_killBoltR` | 희귀 | 11.5% | 26.8% |
| 가시갑옷 `p_thornsR` | 희귀 | 11.4% | 24.8% |
| 회피 시 수리 II `p_evRepairL` | 전설 | 11.4% | 15.3% |
| 치명 시 창 `p_critSpearL` | 전설 | 11.4% | 21.9% |
| 치명 시 번개 `p_critBoltL` | 전설 | 11.3% | 21.3% |
| 3타 번개 II `p_nBoltR` | 희귀 | 11.3% | 26.5% |
| 2타 화살 II `p_nArrowR` | 희귀 | 11.3% | 23.0% |
| 관통 베기 III `p_cleaveL` | 전설 | 11.0% | 13.6% |
| 공격력 증가 `p_atk` | 일반 | 11.0% | 22.7% |
| 처치 시 도끼 `p_killAxeR` | 희귀 | 10.9% | 19.1% |
| 피격 시 창 `p_spearHitL` | 전설 | 10.8% | 26.2% |
| 피격 시 도끼 III `p_axeHitL` | 전설 | 10.8% | 26.4% |
| 실드 반사 `p_shRefL` | 전설 | 10.6% | 19.7% |
| 회피 시 화살 `p_arrowEv` | 일반 | 10.5% | 15.1% |
| 치명타 시 스턴 II `p_stunCritR` | 희귀 | 10.5% | 18.3% |
| 실드 방벽 `p_shWallL` | 전설 | 10.4% | 28.0% |
| 치명타 확률 증가 II `p_critRR` | 희귀 | 10.4% | 17.6% |
| 3타 창 `p_nSpearL` | 전설 | 10.2% | 25.4% |
| 반격률 증가 II `p_counterR` | 희귀 | 10.0% | 15.0% |
| 회피 시 창 `p_spearEvL` | 전설 | 10.0% | 16.7% |
| 회피 시 즉사 II `p_execEvR` | 희귀 | 9.9% | 16.8% |
| 방어력 증가 III `p_defL` | 전설 | 9.8% | 20.3% |
| 회피율 증가 II `p_evadeR` | 희귀 | 9.5% | 29.8% |
| 3타 도끼 II `p_nAxeR` | 희귀 | 9.3% | 20.5% |
| 피격 시 도끼 `p_axeHit` | 일반 | 9.3% | 18.0% |
| 반격 시 창 `p_spearCt` | 일반 | 8.7% | 15.4% |
| 공격력 증가 II `p_atkR` | 희귀 | 8.7% | 32.7% |
| 버서커 `p_berserkStk` | 희귀 | 8.6% | 34.0% |
| 반격률 증가 `p_counter` | 일반 | 8.5% | 12.7% |
| 처치 시 대시 `p_killDash` | 희귀 | 8.5% | 26.5% |
| 회피 시 회복 II `p_evHealR` | 희귀 | 8.2% | 15.3% |
| 회피 시 수리 `p_evRepairR` | 희귀 | 8.0% | 11.5% |
| 피격 시 방어막 III `p_wardHitL` | 전설 | 7.8% | 25.5% |
| 관통 베기 II `p_cleaveR` | 희귀 | 7.8% | 14.0% |
| 회피 시 화살 II `p_arrowEvR` | 희귀 | 7.8% | 17.2% |
| 반격 치명 II `p_ctCritR` | 희귀 | 7.7% | 16.3% |
| 치명타 피해 증가 `p_critF` | 일반 | 7.7% | 18.5% |
| 방어력 증가 II `p_defR` | 희귀 | 7.7% | 13.0% |
| 치명타 확률 증가 `p_critR` | 일반 | 7.5% | 14.4% |
| 반격 강화 II `p_ctDmgR` | 희귀 | 7.4% | 20.2% |
| 피격 시 도끼 II `p_axeHitR` | 희귀 | 7.2% | 12.8% |
| 방어력 증가 `p_def` | 일반 | 6.4% | 18.2% |
| 치명 시 창 `p_critSpearR` | 희귀 | 6.3% | 18.7% |
| 처치 시 번개 `p_killBoltN` | 일반 | 6.2% | 17.6% |
| 피격 시 방어막 II `p_wardHitR` | 희귀 | 6.0% | 22.2% |
