
=== 실험3: 전체 진행 시뮬 (챕터 1→100, 골드=슬롯강화 · 다이아=뽑기 자동) ===
챕터  22: 시도  13회  슬롯 5/5/5/5/5/4  장비 전설/전설/신화/전설/전설/신화  뽑기 135회  전투력 공1.44e+2·체1.44e+3  
챕터  23: 시도   7회  슬롯 5/5/5/5/5/5  장비 전설/전설/신화/전설/전설/신화  뽑기 136회  전투력 공2.05e+2·체2.05e+3  
챕터  24: 시도   1회  슬롯 5/5/5/5/5/5  장비 전설/전설/신화/전설/전설/신화  뽑기 137회  전투력 공2.05e+2·체2.05e+3  
챕터  25: 시도  46회  슬롯 6/6/6/5/5/5  장비 전설/전설/신화/전설/전설/신화  뽑기 146회  전투력 공3.51e+2·체3.51e+3  
챕터  26: 시도   2회  슬롯 6/6/6/5/5/5  장비 전설/전설/신화/전설/전설/신화  뽑기 147회  전투력 공3.51e+2·체3.51e+3  
챕터  27: 시도   4회  슬롯 6/6/6/5/5/5  장비 전설/전설/신화/전설/전설/신화  뽑기 147회  전투력 공3.51e+2·체3.51e+3  
챕터  28: 시도   1회  슬롯 6/6/6/6/5/5  장비 전설/전설/신화/전설/전설/신화  뽑기 148회  전투력 공3.52e+2·체3.52e+3  
챕터  29: 시도  11회  슬롯 6/6/6/6/6/5  장비 신화/전설/신화/전설/전설/신화  뽑기 150회  전투력 공5.81e+2·체5.81e+3  
챕터  30: 시도   1회  슬롯 6/6/6/6/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 150회  전투력 공7.25e+2·체7.25e+3  
챕터  31: 시도   1회  슬롯 6/6/6/6/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 150회  전투력 공7.25e+2·체7.25e+3  
챕터  32: 시도   1회  슬롯 6/6/6/6/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 151회  전투력 공7.25e+2·체7.25e+3  
챕터  33: 시도   1회  슬롯 6/6/6/6/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 151회  전투력 공7.25e+2·체7.25e+3  
챕터  34: 시도   1회  슬롯 6/6/6/6/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 151회  전투력 공7.25e+2·체7.25e+3  
챕터  35: 시도   2회  슬롯 7/6/6/6/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 151회  전투력 공1.11e+3·체1.11e+4  
챕터  36: 시도   1회  슬롯 7/6/6/6/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 152회  전투력 공1.11e+3·체1.11e+4  
챕터  37: 시도   1회  슬롯 7/7/6/6/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 152회  전투력 공1.11e+3·체1.11e+4  
챕터  38: 시도   1회  슬롯 7/7/7/6/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 152회  전투력 공1.50e+3·체1.50e+4  
챕터  39: 시도   1회  슬롯 7/7/7/6/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 152회  전투력 공1.50e+3·체1.50e+4  
챕터  40: 시도   1회  슬롯 7/7/7/7/6/6  장비 신화/전설/신화/전설/전설/신화  뽑기 152회  전투력 공1.50e+3·체1.50e+4  
챕터  41: 시도   1회  슬롯 7/7/7/7/7/6  장비 신화/전설/신화/전설/전설/신화  뽑기 153회  전투력 공1.50e+3·체1.50e+4  
챕터  42: 시도   1회  슬롯 7/7/7/7/7/7  장비 신화/전설/신화/전설/전설/신화  뽑기 153회  전투력 공1.89e+3·체1.89e+4  
챕터  43: 시도   1회  슬롯 7/7/7/7/7/7  장비 신화/전설/신화/전설/전설/신화  뽑기 153회  전투력 공1.89e+3·체1.89e+4  
챕터  44: 시도   2회  슬롯 8/8/7/7/7/7  장비 신화/전설/신화/전설/전설/신화  뽑기 153회  전투력 공2.93e+3·체2.93e+4  
챕터  45: 시도   2회  슬롯 8/8/8/7/7/7  장비 신화/전설/신화/전설/전설/신화  뽑기 154회  전투력 공3.97e+3·체3.97e+4  
챕터  46: 시도   1회  슬롯 8/8/8/8/7/7  장비 신화/전설/신화/전설/전설/신화  뽑기 154회  전투력 공3.97e+3·체3.97e+4  
챕터  47: 시도   1회  슬롯 8/8/8/8/8/7  장비 신화/전설/신화/전설/전설/신화  뽑기 154회  전투력 공3.98e+3·체3.98e+4  
챕터  48: 시도   1회  슬롯 8/8/8/8/8/8  장비 신화/전설/신화/전설/전설/신화  뽑기 154회  전투력 공5.01e+3·체5.01e+4  
챕터  49: 시도   1회  슬롯 8/8/8/8/8/8  장비 신화/전설/신화/전설/전설/신화  뽑기 155회  전투력 공5.01e+3·체5.01e+4  
챕터  50: 시도   1회  슬롯 9/8/8/8/8/8  장비 신화/전설/신화/전설/전설/신화  뽑기 155회  전투력 공7.78e+3·체7.78e+4  
챕터  51: 시도   1회  슬롯 9/9/8/8/8/8  장비 신화/전설/신화/전설/전설/신화  뽑기 155회  전투력 공7.80e+3·체7.80e+4  
챕터  52: 시도   1회  슬롯 9/9/9/9/8/8  장비 신화/전설/신화/전설/전설/신화  뽑기 155회  전투력 공1.06e+4·체1.06e+5  
챕터  53: 시도   1회  슬롯 9/9/9/9/9/8  장비 신화/전설/신화/전설/전설/신화  뽑기 156회  전투력 공1.06e+4·체1.06e+5  
챕터  54: 시도   1회  슬롯 9/9/9/9/9/9  장비 신화/전설/신화/전설/전설/신화  뽑기 156회  전투력 공1.34e+4·체1.34e+5  
챕터  55: 시도   1회  슬롯 10/9/9/9/9/9  장비 신화/전설/신화/전설/전설/신화  뽑기 156회  전투력 공2.08e+4·체2.08e+5  
챕터  56: 시도   1회  슬롯 10/9/9/9/9/9  장비 신화/전설/신화/전설/전설/신화  뽑기 156회  전투력 공2.08e+4·체2.08e+5  
챕터  57: 시도   1회  슬롯 10/10/9/9/9/9  장비 신화/전설/신화/전설/전설/신화  뽑기 156회  전투력 공2.09e+4·체2.09e+5  
챕터  58: 시도   1회  슬롯 10/10/10/9/9/9  장비 신화/전설/신화/전설/전설/신화  뽑기 157회  전투력 공2.83e+4·체2.83e+5  
챕터  59: 시도   1회  슬롯 10/10/10/10/10/9  장비 신화/전설/신화/전설/전설/신화  뽑기 157회  전투력 공2.84e+4·체2.84e+5  
챕터  60: 시도   1회  슬롯 10/10/10/10/10/10  장비 신화/전설/신화/전설/전설/신화  뽑기 157회  전투력 공3.75e+4·체3.75e+5  
챕터  61: 시도   1회  슬롯 10/10/10/10/10/10  장비 신화/전설/신화/전설/전설/신화  뽑기 157회  전투력 공3.75e+4·체3.75e+5  
챕터  62: 시도   1회  슬롯 11/10/10/10/10/10  장비 신화/전설/신화/전설/전설/신화  뽑기 157회  전투력 공5.84e+4·체5.84e+5  
챕터  63: 시도   1회  슬롯 11/11/10/10/10/10  장비 신화/전설/신화/전설/전설/신화  뽑기 158회  전투력 공5.85e+4·체5.85e+5  
챕터  64: 시도   1회  슬롯 11/11/11/11/10/10  장비 신화/전설/신화/전설/전설/신화  뽑기 158회  전투력 공7.95e+4·체7.95e+5  
챕터  65: 시도   1회  슬롯 11/11/11/11/11/10  장비 신화/전설/신화/전설/전설/신화  뽑기 158회  전투력 공7.96e+4·체7.96e+5  
챕터  66: 시도   1회  슬롯 11/11/11/11/11/11  장비 신화/전설/신화/전설/전설/신화  뽑기 158회  전투력 공1.00e+5·체1.00e+6  
챕터  67: 시도   1회  슬롯 12/11/11/11/11/11  장비 신화/전설/신화/전설/전설/신화  뽑기 158회  전투력 공1.56e+5·체1.56e+6  
챕터  68: 시도   1회  슬롯 12/11/11/11/11/11  장비 신화/전설/신화/전설/전설/신화  뽑기 159회  전투력 공1.56e+5·체1.56e+6  
챕터  69: 시도   1회  슬롯 12/12/11/11/11/11  장비 신화/전설/신화/전설/전설/신화  뽑기 159회  전투력 공1.57e+5·체1.57e+6  
챕터  70: 시도   1회  슬롯 12/12/12/12/11/11  장비 신화/전설/신화/전설/전설/신화  뽑기 159회  전투력 공2.13e+5·체2.13e+6  
챕터  71: 시도   1회  슬롯 12/12/12/12/12/11  장비 신화/전설/신화/전설/전설/신화  뽑기 159회  전투력 공2.13e+5·체2.13e+6  
챕터  72: 시도   1회  슬롯 12/12/12/12/12/12  장비 신화/전설/신화/전설/전설/신화  뽑기 159회  전투력 공2.69e+5·체2.69e+6  
챕터  73: 시도   1회  슬롯 12/12/12/12/12/12  장비 신화/전설/신화/전설/전설/신화  뽑기 160회  전투력 공2.69e+5·체2.69e+6  
챕터  74: 시도   1회  슬롯 13/12/12/12/12/12  장비 신화/전설/신화/전설/전설/신화  뽑기 160회  전투력 공4.19e+5·체4.19e+6  
챕터  75: 시도   1회  슬롯 13/13/12/12/12/12  장비 신화/전설/신화/전설/전설/신화  뽑기 160회  전투력 공4.20e+5·체4.20e+6  
챕터  76: 시도   1회  슬롯 13/13/13/12/12/12  장비 신화/전설/신화/전설/전설/신화  뽑기 160회  전투력 공5.70e+5·체5.70e+6  
챕터  77: 시도   1회  슬롯 13/13/13/13/13/12  장비 신화/전설/신화/전설/전설/신화  뽑기 161회  전투력 공5.72e+5·체5.72e+6  
챕터  78: 시도   1회  슬롯 13/13/13/13/13/13  장비 신화/전설/신화/전설/전설/신화  뽑기 161회  전투력 공7.21e+5·체7.21e+6  
챕터  79: 시도   1회  슬롯 14/13/13/13/13/13  장비 신화/전설/신화/전설/전설/신화  뽑기 161회  전투력 공1.12e+6·체1.12e+7  
챕터  80: 시도   1회  슬롯 14/13/13/13/13/13  장비 신화/전설/신화/전설/전설/신화  뽑기 161회  전투력 공1.12e+6·체1.12e+7  
챕터  81: 시도   1회  슬롯 14/14/13/13/13/13  장비 신화/전설/신화/전설/전설/신화  뽑기 161회  전투력 공1.13e+6·체1.13e+7  
챕터  82: 시도   1회  슬롯 14/14/14/14/13/13  장비 신화/전설/신화/전설/전설/신화  뽑기 162회  전투력 공1.53e+6·체1.53e+7  
챕터  83: 시도   1회  슬롯 14/14/14/14/14/13  장비 신화/전설/신화/전설/전설/신화  뽑기 162회  전투력 공1.53e+6·체1.53e+7  
챕터  84: 시도   1회  슬롯 14/14/14/14/14/14  장비 신화/전설/신화/전설/전설/신화  뽑기 162회  전투력 공1.93e+6·체1.93e+7  
챕터  85: 시도   1회  슬롯 15/14/14/14/14/14  장비 신화/전설/신화/전설/전설/신화  뽑기 162회  전투력 공3.01e+6·체3.01e+7  
챕터  86: 시도   1회  슬롯 15/15/14/14/14/14  장비 신화/전설/신화/전설/전설/신화  뽑기 162회  전투력 공3.02e+6·체3.02e+7  
챕터  87: 시도   1회  슬롯 15/15/15/14/14/14  장비 신화/전설/신화/전설/전설/신화  뽑기 163회  전투력 공4.09e+6·체4.09e+7  
챕터  88: 시도   1회  슬롯 15/15/15/15/14/14  장비 신화/전설/신화/전설/전설/신화  뽑기 163회  전투력 공4.10e+6·체4.10e+7  
챕터  89: 시도   1회  슬롯 15/15/15/15/15/14  장비 신화/전설/신화/전설/전설/신화  뽑기 163회  전투력 공4.11e+6·체4.11e+7  
챕터  90: 시도   1회  슬롯 15/15/15/15/15/15  장비 신화/전설/신화/전설/전설/신화  뽑기 163회  전투력 공5.42e+6·체5.42e+7  
챕터  91: 시도   1회  슬롯 16/15/15/15/15/15  장비 신화/전설/신화/전설/전설/신화  뽑기 163회  전투력 공8.43e+6·체8.43e+7  
챕터  92: 시도   1회  슬롯 16/16/15/15/15/15  장비 신화/전설/신화/전설/전설/신화  뽑기 164회  전투력 공8.45e+6·체8.45e+7  
챕터  93: 시도   1회  슬롯 16/16/16/16/15/15  장비 신화/전설/신화/전설/전설/신화  뽑기 164회  전투력 공1.15e+7·체1.15e+8  
챕터  94: 시도   1회  슬롯 16/16/16/16/16/15  장비 신화/전설/신화/전설/전설/신화  뽑기 164회  전투력 공1.15e+7·체1.15e+8  
챕터  95: 시도   1회  슬롯 16/16/16/16/16/16  장비 신화/전설/신화/전설/전설/신화  뽑기 164회  전투력 공1.45e+7·체1.45e+8  
챕터  96: 시도   1회  슬롯 16/16/16/16/16/16  장비 신화/전설/신화/전설/전설/신화  뽑기 164회  전투력 공1.45e+7·체1.45e+8  
챕터  97: 시도   1회  슬롯 17/16/16/16/16/16  장비 신화/전설/신화/전설/전설/신화  뽑기 165회  전투력 공2.26e+7·체2.26e+8  
챕터  98: 시도   1회  슬롯 17/17/16/16/16/16  장비 신화/전설/신화/전설/전설/신화  뽑기 165회  전투력 공2.26e+7·체2.26e+8  
챕터  99: 시도   1회  슬롯 17/17/17/16/16/16  장비 신화/전설/신화/전설/전설/신화  뽑기 165회  전투력 공3.07e+7·체3.07e+8  
챕터 100: 시도   1회  슬롯 17/17/17/17/16/16  장비 신화/전설/신화/전설/전설/신화  뽑기 165회  전투력 공3.08e+7·체3.08e+8  
총 시도: 796  (환산 27일)
